Category,Filter Query,Description,Example
Assignment,assigned by: me,Tasks assigned by you,"assigned by: me"
Assignment,assigned,Tasks that are assigned,"assigned"
Assignment,!assigned,Tasks that are not assigned,"!assigned"
Assignment,shared,Tasks in shared projects,"shared"
Assignment,shared & !assigned,Shared tasks not assigned to anyone,"shared & !assigned"
Special,view all,Show all active tasks,"view all"
Special,all,Show all tasks,"all"
Special,uncompletable,Show all uncompletable tasks,"uncompletable"
Special,added by: name,Tasks created by specific person,"added by: Becky"
Special,added by: me,Tasks created by you,"added by: me"
Complex Examples,(today | overdue) & #Work,Overdue or today tasks in Work project,"(today | overdue) & #Work"
Complex Examples,7 days & @waiting,Tasks due in next 7 days with waiting label,"7 days & @waiting"
Complex Examples,#Work & no date,Unscheduled tasks in Work project,"#Work & no date"
Complex Examples,(P1 | P2) & 14 days,High priority tasks in next two weeks,"(P1 | P2) & 14 days"
Complex Examples,Saturday & @night,Tasks due Saturday with night label,"Saturday & @night"
Complex Examples,#Work & assigned to: me,Work project tasks assigned to you,"#Work & assigned to: me"
Complex Examples,Today & @email,Today tasks with email label,"Today & @email"
Complex Examples,@work | @office,Tasks with work or office label,"@work | @office"
Complex Examples,all & 7 days,All tasks due in next 7 days,"all & 7 days"
Complex Examples,Today & !#Work,Today tasks excluding Work project,"Today & !#Work"
Complex Examples,#Homework & tomorrow & !@languages,Tomorrow homework tasks without languages label,"#Homework & tomorrow & !@languages"
Complex Examples,due before: +8 hours & !overdue,Tasks due within 8 hours but not overdue,"due before: +8 hours & !overdue"
Complex Examples,(assigned to: Denise | assigned to: Carol) & (due after: sunday & due before: 8 days after sunday) & @Todoist,Tasks assigned to Denise or Carol due next week with Todoist label,"(assigned to: Denise | assigned to: Carol) & (due after: sunday & due before: 8 days after sunday) & @Todoist"
Complex Examples,assigned to: m* smith,Tasks assigned to anyone with first name starting with M and last name Smith,"assigned to: m* smith"
Complex Examples,p1 & overdue, p4 & today,Multiple lists: P1 overdue and P4 today,"p1 & overdue, p4 & today"
